Title,URL
[HTML][HTML] Nature's fight against plastic pollution: Algae for plastic biodegradation and bioplastics production,https://www.sciencedirect.com/science/article/pii/S2666498420300570
"Algal degradation of microplastic from the environment: Mechanism, challenges, and future prospects",https://www.sciencedirect.com/science/article/pii/S2211926422002193
Interplay of plastic pollution with algae and plants: hidden danger or a blessing?,https://www.sciencedirect.com/science/article/pii/S0304389422012432
Exploring the potential of algae in the mitigation of plastic pollution in aquatic environments,https://www.igi-global.com/chapter/exploring-the-potential-of-algae-in-the-mitigation-of-plastic-pollution-in-aquatic-environments/306388
Role of algae and cyanobacteria in bioremediation: prospects in polyethylene biodegradation,https://www.sciencedirect.com/science/article/pii/B978012819311200022X
Role of algae in biodegradation of plastics,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119857839.ch5
Algae: a frontline photosynthetic organism in the microplastic catastrophe,https://www.cell.com/trends/plant-science/fulltext/S1360-1385(22)00157-1
[HTML][HTML] Biodegradation and characterization study of compostable PLA bioplastic containing algae biomass as potential degradation accelerator,https://www.sciencedirect.com/science/article/pii/S2667010021000469
[PDF][PDF] Biodegradation of polyethylene by green photosynthetic microalgae,https://www.researchgate.net/profile/Rajesh-Gopal-Mrsb/publication/312590130_Biodegradation_of_Polyethylene_by_Green_Photosynthetic_Microalgae/links/5c2b94fa458515a4c7058654/Biodegradation-of-Polyethylene-by-Green-Photosynthetic-Microalgae.pdf
Green revolution to protect environment–an identification of potential micro algae for the biodegradation of plastic waste in Malaysia,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3391802
"Plastic wastes biodegradation: Mechanisms, challenges and future prospects",https://www.sciencedirect.com/science/article/pii/S0048969721016582
Plastic biodegradation: Frontline microbes and their enzymes,https://www.sciencedirect.com/science/article/pii/S0048969720370674
Hints at the Applicability of Microalgae and Cyanobacteria for the Biodegradation of Plastics,https://www.mdpi.com/2071-1050/12/24/10449
Progress and perspective on algal plastics–a critical review,https://www.sciencedirect.com/science/article/pii/S0960852419309307
A review on potential of algae in producing biodegradable plastic,https://myjms.mohe.gov.my/index.php/ijear/article/view/12615
Microalgae: a promising tool for plastic degradation,https://www.sciencedirect.com/science/article/pii/B9780323904520000499
Efficient secretion of a plastic degrading enzyme from the green algae Chlamydomonas reinhardtii,https://www.biorxiv.org/content/10.1101/2024.10.23.619606.abstract
Biodegradation of different types of microplastics: Molecular mechanism and degradation efficiency,https://www.sciencedirect.com/science/article/pii/S0048969723015280
"The role of algae in regulating the fate of microplastics: A review for processes, mechanisms, and influencing factors",https://www.sciencedirect.com/science/article/pii/S0048969724053774
Polystyrene microplastics enhanced the photo-degradation and-ammonification of algae-derived dissolved organic matters,https://www.sciencedirect.com/science/article/pii/S0304389424025706
